"Geography Type Description","Geography Name","Sits in State","GeoID","Formatted GeoID","Distance to Transit","Data Time Period","Geographic Vintage","Data Source","Selected Location"
"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","d4a","TimeFrame","GeoVintage","Source","Location"
"Block Group","040019426001","AZ","040019426001","=""040019426001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019426002","AZ","040019426002","=""040019426002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427001","AZ","040019427001","=""040019427001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427002","AZ","040019427002","=""040019427002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427003","AZ","040019427003","=""040019427003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019427004","AZ","040019427004","=""040019427004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440001","AZ","040019440001","=""040019440001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440002","AZ","040019440002","=""040019440002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019440003","AZ","040019440003","=""040019440003""","325.89","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441001","AZ","040019441001","=""040019441001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441002","AZ","040019441002","=""040019441002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441003","AZ","040019441003","=""040019441003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441004","AZ","040019441004","=""040019441004""","760.42","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019441005","AZ","040019441005","=""040019441005""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442011","AZ","040019442011","=""040019442011""","815.40","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442012","AZ","040019442012","=""040019442012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442013","AZ","040019442013","=""040019442013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442021","AZ","040019442021","=""040019442021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019442022","AZ","040019442022","=""040019442022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443001","AZ","040019443001","=""040019443001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443002","AZ","040019443002","=""040019443002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443003","AZ","040019443003","=""040019443003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443004","AZ","040019443004","=""040019443004""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019443005","AZ","040019443005","=""040019443005""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449011","AZ","040019449011","=""040019449011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449012","AZ","040019449012","=""040019449012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449013","AZ","040019449013","=""040019449013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449014","AZ","040019449014","=""040019449014""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449015","AZ","040019449015","=""040019449015""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449021","AZ","040019449021","=""040019449021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449022","AZ","040019449022","=""040019449022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449023","AZ","040019449023","=""040019449023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019449024","AZ","040019449024","=""040019449024""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450011","AZ","040019450011","=""040019450011""","405.02","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450012","AZ","040019450012","=""040019450012""","622.28","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450013","AZ","040019450013","=""040019450013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450014","AZ","040019450014","=""040019450014""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450021","AZ","040019450021","=""040019450021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450022","AZ","040019450022","=""040019450022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019450023","AZ","040019450023","=""040019450023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019451001","AZ","040019451001","=""040019451001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019451002","AZ","040019451002","=""040019451002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019702001","AZ","040019702001","=""040019702001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019702002","AZ","040019702002","=""040019702002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019702003","AZ","040019702003","=""040019702003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703001","AZ","040019703001","=""040019703001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703002","AZ","040019703002","=""040019703002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019703003","AZ","040019703003","=""040019703003""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705011","AZ","040019705011","=""040019705011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705012","AZ","040019705012","=""040019705012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705013","AZ","040019705013","=""040019705013""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705014","AZ","040019705014","=""040019705014""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705021","AZ","040019705021","=""040019705021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705022","AZ","040019705022","=""040019705022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040019705023","AZ","040019705023","=""040019705023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001001","AZ","040030001001","=""040030001001""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030001002","AZ","040030001002","=""040030001002""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002011","AZ","040030002011","=""040030002011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002012","AZ","040030002012","=""040030002012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002021","AZ","040030002021","=""040030002021""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002022","AZ","040030002022","=""040030002022""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002023","AZ","040030002023","=""040030002023""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002024","AZ","040030002024","=""040030002024""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002031","AZ","040030002031","=""040030002031""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002032","AZ","040030002032","=""040030002032""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030002033","AZ","040030002033","=""040030002033""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003011","AZ","040030003011","=""040030003011""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
"Block Group","040030003012","AZ","040030003012","=""040030003012""","N/A","2021","2010","EPA Smart Location Database","Arizona (State)"
